OGF_ID,AIRPORT_TYPE,STATUS,NAME,OWNER,AIRPORT_IDENT,LATITUDE,LONGITUDE,ELEVATION,NUMBER_OF_PAVED_RUNWAYS,NUMBER_OF_UNPAVED_RUNWAYS,LGTH_LONGEST_DAYTIME_RUNWAY,LGTH_LONGEST_NIGHTTIME_RUNWAY,CONTROL_TOWER_IND,INSTRUMENT_FLIGHT_RULES_IND,VISUAL_FLIGHT_RULES_IND,AIRPORT_LIGHTING,AIRPORT_AREA_HA,COMMENTS,SOURCE_DETAIL,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
73162736,Airport,Unknown,Kars/Rideau Valley Air Park,<Null>,CPL3,45.1016769,75.6297572,286,0,0,0,0,,,,,40.15,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,92,0,0
73162737,Hospital Heliport,Unknown,Ottawa (Civic Hospital),<Null>,CPP7,45.3915135,75.7205982,265,0,0,0,0,,,,,0.111,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,93,0,0
73162738,Airport,Unknown,Iroquois,<Null>,CNP7,44.8420919,75.312317,246,0,0,0,0,,,,,35.185,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,94,0,0
73162739,Airport,Unknown,Winchester,<Null>,CNA8,45.0450068,75.3028479,250,0,0,0,0,,,,,16.401,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,95,0,0
73162740,Airport,Unknown,Ottawa/Embrun,<Null>,CPR2,45.2399709,75.3019736,230,0,0,0,0,,,,,15.736,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,96,0,0
73162741,Airport,Unknown,Morrisburg,<Null>,CNS8,44.9472073,75.0766496,254,0,0,0,0,,,,,19.627,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,97,0,0
73162742,Airport,Unknown,Pendleton,<Null>,CNF3,45.4873148,75.094084,260,0,0,0,0,,,,,150.413,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,98,0,0
73162743,Airport,Unknown,Hawkesbury (Windover Field),<Null>,CPD8,45.5653566,74.8091307,165,0,0,0,0,,,,,44.289,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,99,0,0
73162744,Airport,Unknown,Hawkesbury,<Null>,CNV4,45.6166695,74.6478026,167,0,0,0,0,,,,,82.809,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,100,0,0
73162745,Airport,Unknown,Alexandria,<Null>,CNS4,45.3302908,74.6230812,260,0,0,0,0,,,,,13.829,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,101,0,0
